Date,"Deshaun Watson"
2019-07-23,690
2019-07-24,769
2019-07-25,880
2019-07-26,1057
2019-07-27,1737
2019-07-28,1034
2019-07-29,1339
2019-07-30,1288
2019-07-31,1217
2019-08-01,1201
2019-08-02,1062
2019-08-03,951
2019-08-04,1001
2019-08-05,1260
2019-08-06,1251
2019-08-07,972
2019-08-08,1799
2019-08-09,1759
2019-08-10,1124
2019-08-11,1157
2019-08-12,1267
2019-08-13,1350
2019-08-14,1166
2019-08-15,1055
2019-08-16,1194
2019-08-17,995
2019-08-18,2571
2019-08-19,1344
2019-08-20,1369
2019-08-21,1317
2019-08-22,1744
2019-08-23,2203
2019-08-24,1841
2019-08-25,2903
2019-08-26,2221
2019-08-27,2872
2019-08-28,2401
2019-08-29,2255
2019-08-30,2535
2019-08-31,2317
2019-09-01,2683
2019-09-02,2423
2019-09-03,2696
2019-09-04,2505
2019-09-05,2114
2019-09-06,4981
2019-09-07,2748
2019-09-08,2875
2019-09-09,9733
2019-09-10,62058
2019-09-11,5134
2019-09-12,3579
2019-09-13,2864
2019-09-14,3982
2019-09-15,7581
2019-09-16,4340
2019-09-17,3032
2019-09-18,2472
2019-09-19,1889
2019-09-20,2098
2019-09-21,2145
2019-09-22,8934
2019-09-23,4609
2019-09-24,3884
2019-09-25,2566
2019-09-26,2153
2019-09-27,1684
2019-09-28,1874
2019-09-29,8392
2019-09-30,3815
2019-10-01,2547
2019-10-02,4102
2019-10-03,3697
2019-10-04,2360
2019-10-05,1517
2019-10-06,8826
2019-10-07,7413
2019-10-08,3672
2019-10-09,4017
2019-10-10,3171
2019-10-11,4843
2019-10-12,3428
2019-10-13,16179
2019-10-14,8611
2019-10-15,3742
2019-10-16,3881
2019-10-17,4018
2019-10-18,3320
2019-10-19,2106
2019-10-20,6165
2019-10-21,4394
2019-10-22,2606
2019-10-23,1617
2019-10-24,1545
2019-10-25,1304
2019-10-26,1223
2019-10-27,5899
2019-10-28,6427
2019-10-29,4111
2019-10-30,2665
2019-10-31,1953
2019-11-01,2027
2019-11-02,1630
2019-11-03,11093
2019-11-04,6968
2019-11-05,3224
2019-11-06,2328
2019-11-07,2051
2019-11-08,1911
2019-11-09,1577
2019-11-10,2703
2019-11-11,2782
2019-11-12,3098
2019-11-13,2794
2019-11-14,3333
2019-11-15,3002
2019-11-16,3113
2019-11-17,10587
2019-11-18,6219
2019-11-19,2826
2019-11-20,1830
2019-11-21,1803
2019-11-22,15255
2019-11-23,2146
2019-11-24,2351
2019-11-25,1670
2019-11-26,3138
2019-11-27,1659
2019-11-28,2326
2019-11-29,5142
2019-11-30,1616
2019-12-01,2423
2019-12-02,51099
2019-12-03,4259
2019-12-04,2112
2019-12-05,1821
2019-12-06,1871
2019-12-07,1509
2019-12-08,4350
2019-12-09,2339
2019-12-10,1775
2019-12-11,1397
2019-12-12,1137
2019-12-13,2244
2019-12-14,1183
2019-12-15,3987
2019-12-16,1948
2019-12-17,1856
2019-12-18,3345
2019-12-19,1715
2019-12-20,1219
2019-12-21,4849
2019-12-22,2733
2019-12-23,3568
2019-12-24,1796
2019-12-25,1387
2019-12-26,1489
2019-12-27,1590
2019-12-28,2310
2019-12-29,8665
2019-12-30,3937
2019-12-31,2411
